INFO   | jvm 1    | 2002/11/14 11:59:07 | java.lang.IllegalAccessException
INFO   | jvm 1    | 2002/11/14 11:59:07 | 	at java.lang.reflect.Method.invoke(Native Method)
INFO   | jvm 1    | 2002/11/14 11:59:07 | 	at com.silveregg.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:96)
INFO   | jvm 1    | 2002/11/14 11:59:07 | 	at java.lang.Thread.run(Thread.java:484)
INFO   | jvm 1    | 2002/11/14 11:59:07 | 
INFO   | jvm 1    | 2002/11/14 11:59:07 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2002/11/14 11:59:07 |   java com.silveregg.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2002/11/14 11:59:07 | 
INFO   | jvm 1    | 2002/11/14 11:59:07 | Where:
INFO   | jvm 1    | 2002/11/14 11:59:07 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2002/11/14 11:59:07 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2002/11/14 11:59:07 |                   application.
INFO   | jvm 1    | 2002/11/14 11:59:07 | WrapperSimpleApp: start(args) end.  Main Completed=true, exitCode=1
INFO   | jvm 1    | 2002/11/14 11:59:07 | Send a packet 101 : 1
DEBUG  | wrapperp | 2002/11/14 11:59:07 | read a packet 101 : 1
DEBUG  | wrapper  | 2002/11/14 11:59:07 | JVM requested a shutdown. (1)
DEBUG  | wrapper  | 2002/11/14 11:59:07 | wrapperStopProcess(1) called.  (IGNORED)
DEBUG  | wrapper  | 2002/11/14 11:59:07 | Sending stop signal to JVM
DEBUG  | wrapperp | 2002/11/14 11:59:07 | sent 2 bytes
INFO   | jvm 1    | 2002/11/14 11:59:07 | Thread, Wrapper-Connection, handling the shutdown process.
INFO   | jvm 1    | 2002/11/14 11:59:07 | Send a packet 107 : 0
INFO   | jvm 1    | 2002/11/14 11:59:07 | Closing socket.
DEBUG  | wrapperp | 2002/11/14 11:59:07 | read a packet 107 : 0
DEBUG  | wrapper  | 2002/11/14 11:59:07 | JVM signalled that it was stopped.
DEBUG  | wrapperp | 2002/11/14 11:59:07 | socket read no code (closed?).
STATUS | wrapper  | 2002/11/14 11:59:08 | CTRL-C trapped.  Shutting down.
INFO   | jvm 1    | 2002/11/14 11:59:08 | calling System.exit(1)
DEBUG  | wrapper  | 2002/11/14 11:59:08 | wrapperStopProcess(0) called.  (IGNORED)
DEBUG  | wrapper  | 2002/11/14 11:59:08 | JVM exited normally.
STATUS | wrapper  | 2002/11/14 11:59:08 | CTRL-C trapped.  Shutting down.
DEBUG  | wrapper  | 2002/11/14 11:59:08 | wrapperStopProcess(0) called.  (IGNORED)
STATUS | wrapper  | 2002/11/14 11:59:08 | <-- Wrapper Stopped
STATUS | wrapper  | 2002/11/14 12:00:59 | --> Wrapper Started as Console
DEBUG  | wrapperp | 2002/11/14 12:00:59 | server listening on port 1777.
STATUS | wrapper  | 2002/11/14 12:01:00 | Launching a JVM...
DEBUG  | wrapper  | 2002/11/14 12:01:00 | command: "D:\apps\jdk13\bin\java.exe" -Xms16m -Xmx64m -Djava.library.path="D:\data\proj\SearchNames\sn098d\system\nt_service" -classpath ";D:\data\proj\SearchNames\sn098d\system\jar_files\crimson.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\jdom.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msbase.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mssqlserver.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\msutil.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\mysql-connector-java-2.0.14-bin.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nie.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\nts_wrapper.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\postgres-pgjdbc2.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xalan.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\xerces.jar;D:\data\proj\SearchNames\sn098d\system\jar_files\oracle-java-1213.zip" -Dwrapper.key="GaNDhC1aceYieCcz" -Dwrapper.port=1777 -Dwrapper.debug="TRUE" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 com.silveregg.wrapper.WrapperSimpleApp nie.sn.SearchNamesApp D:\data\proj\SearchNames\aopa-config.xml
DEBUG  | wrapper  | 2002/11/14 12:01:00 | Java Virtual Machine started (PID=1992)
INFO   | jvm 1    | 2002/11/14 12:01:01 | Wrapper Manager: JVM #1
INFO   | jvm 1    | 2002/11/14 12:01:01 | Wrapper Manager: Registering shutdown hook
INFO   | jvm 1    | 2002/11/14 12:01:01 | Wrapper Manager: Using wrapper
INFO   | jvm 1    | 2002/11/14 12:01:01 | Calling native initialization method.
INFO   | jvm 1    | 2002/11/14 12:01:01 | Initializing WrapperManager native library.
INFO   | jvm 1    | 2002/11/14 12:01:01 | Java Executable: D:\apps\jdk13\bin\java.exe
INFO   | jvm 1    | 2002/11/14 12:01:01 | Java Version   : 1.3.1_02-b02 Java HotSpot(TM) Client VM
INFO   | jvm 1    | 2002/11/14 12:01:01 | Java VM Vendor : Sun Microsystems Inc.
INFO   | jvm 1    | 2002/11/14 12:01:01 | 
INFO   | jvm 1    | 2002/11/14 12:01:01 | Wrapper (Version 2.2.9)
INFO   | jvm 1    | 2002/11/14 12:01:01 | 
INFO   | jvm 1    | 2002/11/14 12:01:01 | Open socket to wrapper...
INFO   | jvm 1    | 2002/11/14 12:01:01 | Opened Socket
INFO   | jvm 1    | 2002/11/14 12:01:01 | Send a packet 110 : GaNDhC1aceYieCcz
INFO   | jvm 1    | 2002/11/14 12:01:01 | handleSocket(Socket[addr=127.0.0.1/127.0.0.1,port=1777,localport=3097])
DEBUG  | wrapperp | 2002/11/14 12:01:01 | accepted a socket from 127.0.0.1 on port 3097
DEBUG  | wrapperp | 2002/11/14 12:01:01 | read a packet 110 : GaNDhC1aceYieCcz
DEBUG  | wrapper  | 2002/11/14 12:01:01 | Got key from JVM: GaNDhC1aceYieCcz
DEBUG  | wrapperp | 2002/11/14 12:01:01 | sent 3 bytes
DEBUG  | wrapper  | 2002/11/14 12:01:01 | Start Application.
DEBUG  | wrapperp | 2002/11/14 12:01:01 | sent 7 bytes
INFO   | jvm 1    | 2002/11/14 12:01:01 | Received a packet 112 : 1
INFO   | jvm 1    | 2002/11/14 12:01:02 | Wrapper Manager: LowLogLevel from Wrapper is 1
INFO   | jvm 1    | 2002/11/14 12:01:02 | Received a packet 100 : start
INFO   | jvm 1    | 2002/11/14 12:01:02 | calling listener.start()
INFO   | jvm 1    | 2002/11/14 12:01:02 | WrapperSimpleApp: start(args)
INFO   | jvm 1    | 2002/11/14 12:01:02 | WrapperSimpleApp: invoking main method
INFO   | jvm 1    | 2002/11/14 12:01:02 | Encountered an error running main: java.lang.IllegalAccessException
INFO   | jvm 1    | 2002/11/14 12:01:02 | java.lang.IllegalAccessException
INFO   | jvm 1    | 2002/11/14 12:01:02 | 	at java.lang.reflect.Method.invoke(Native Method)
INFO   | jvm 1    | 2002/11/14 12:01:02 | 	at com.silveregg.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:96)
INFO   | jvm 1    | 2002/11/14 12:01:02 | 	at java.lang.Thread.run(Thread.java:484)
INFO   | jvm 1    | 2002/11/14 12:01:02 | 
INFO   | jvm 1    | 2002/11/14 12:01:02 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2002/11/14 12:01:02 |   java com.silveregg.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2002/11/14 12:01:02 | 
